,unique_ID,experiment,channel_width,last_valid_cell_time,first_valid_cell_time,position,track,cell_id,parent,cycle,start_time,start_length,end_time,end_length,cycle_duration,total_growth,avg_elong_rate
0,20240809__XY02_crop1__Track_17,20240809,1.3,1080,0,XY02_crop1,Track_17,1,0,0,0,3.548309326171875,550,5.862985134124756,550,2.314675807952881,0.004208501469005238
1,20240809__XY02_crop1__Track_17,20240809,1.3,1080,0,XY02_crop1,Track_17,1,0,1,555,3.0348806381225586,945,5.603587627410889,390,2.56870698928833,0.006586428177662385
2,20240809__XY02_crop1__Track_17,20240809,1.3,1080,0,XY02_crop1,Track_17,1,0,2,950,3.291337013244629,1080,3.8256239891052246,130,0.5342869758605957,0.004109899814312275
3,20240809__XY02_crop1__Track_17,20240809,1.3,1080,555,XY02_crop1,Track_17,2,1,0,555,3.015327215194702,695,4.178240776062012,140,1.1629135608673096,0.008306525434766497
4,20240809__XY02_crop1__Track_17,20240809,1.3,1080,555,XY02_crop1,Track_17,2,1,1,700,2.116246461868286,975,4.082082748413086,275,1.9658362865447998,0.007148495587435635
5,20240809__XY02_crop1__Track_17,20240809,1.3,1080,555,XY02_crop1,Track_17,2,1,2,980,2.116246461868286,1080,2.590231418609619,100,0.473984956741333,0.00473984956741333
6,20240809__XY02_crop1__Track_17,20240809,1.3,1080,700,XY02_crop1,Track_17,3,2,0,700,2.2703521251678467,1080,4.81702184677124,380,2.5466697216033936,0.006701762425272088
7,20240809__XY02_crop1__Track_17,20240809,1.3,1080,950,XY02_crop1,Track_17,4,1,0,950,2.3970813751220703,1080,2.9329335689544678,130,0.5358521938323975,0.004121939952556904
8,20240809__XY02_crop1__Track_17,20240809,1.3,1080,980,XY02_crop1,Track_17,5,2,0,980,2.144014835357666,1080,2.5540947914123535,100,0.4100799560546875,0.004100799560546875
9,20240809__XY02_crop2__Track_20,20240809,1.3,1080,0,XY02_crop2,Track_20,1,0,0,0,1.9886175394058228,535,3.260383367538452,535,1.2717658281326294,0.0023771323890329522
10,20240809__XY02_crop2__Track_20,20240809,1.3,1080,0,XY02_crop2,Track_20,1,0,1,540,1.8613166809082031,1070,5.756813049316406,530,3.895496368408203,0.007349993147940006
11,20240809__XY02_crop2__Track_20,20240809,1.3,1080,0,XY02_crop2,Track_20,1,0,2,1075,2.303605794906616,1080,2.2703521251678467,5,-0.03325366973876953,-0.006650733947753906
12,20240809__XY02_crop2__Track_20,20240809,1.3,1080,540,XY02_crop2,Track_20,2,1,0,540,1.4822280406951904,1005,4.687216281890869,465,3.2049882411956787,0.006892447830528342
13,20240809__XY02_crop2__Track_20,20240809,1.3,1080,540,XY02_crop2,Track_20,2,1,1,1010,2.37227725982666,1080,2.6514899730682373,70,0.27921271324157715,0.003988753046308245
14,20240809__XY02_crop2__Track_20,20240809,1.3,1080,1010,XY02_crop2,Track_20,3,2,0,1010,2.5005998611450195,1080,2.9329335689544678,70,0.43233370780944824,0.00617619582584926
15,20240809__XY02_crop2__Track_20,20240809,1.3,1080,1075,XY02_crop2,Track_20,4,1,0,1075,3.676955223083496,1080,3.548309326171875,5,-0.1286458969116211,-0.02572917938232422
16,20240809__XY02_crop3__Track_8,20240809,1.3,1080,0,XY02_crop3,Track_8,1,0,0,0,1.6080111265182495,355,3.2733163833618164,355,1.665305256843567,0.004691000723503006
17,20240809__XY02_crop3__Track_8,20240809,1.3,1080,0,XY02_crop3,Track_8,1,0,1,360,1.9886175394058228,615,3.8056929111480713,255,1.8170753717422485,0.00712578577153823
