,unique_ID,experiment,position,track,cell_id,min_slope_ruby,time_of_min_slope_ruby,lifetime,mean_ruby_lifetime,max_ruby,max_ruby_time
0,20240809__XY02_crop1__Track_17,20240809,XY02_crop1,Track_17,1,-0.08136749267578125,565,217,8.800958,9.132211685180664,110.0
1,20240809__XY02_crop1__Track_17,20240809,XY02_crop1,Track_17,2,-0.03533935546875,455,106,8.594976,8.954861640930176,570.0
2,20240809__XY02_crop1__Track_17,20240809,XY02_crop1,Track_17,3,-0.027334213256835938,250,77,8.608295,8.747636795043945,700.0
3,20240809__XY02_crop1__Track_17,20240809,XY02_crop1,Track_17,4,-0.02191925048828125,60,27,8.952007,9.028313636779785,950.0
4,20240809__XY02_crop1__Track_17,20240809,XY02_crop1,Track_17,5,-0.01628589630126953,50,21,8.442676,8.506494522094727,1080.0
5,20240809__XY02_crop2__Track_20,20240809,XY02_crop2,Track_20,1,-0.059478759765625,1075,217,8.727452,9.33572006225586,215.0
6,20240809__XY02_crop2__Track_20,20240809,XY02_crop2,Track_20,2,-0.045543670654296875,40,109,8.464784,8.888589859008789,540.0
7,20240809__XY02_crop2__Track_20,20240809,XY02_crop2,Track_20,3,-0.027936935424804688,20,15,8.462652,8.480001449584961,1080.0
8,20240809__XY02_crop2__Track_20,20240809,XY02_crop2,Track_20,4,-0.004352569580078125,5,2,8.457343,8.459519386291504,1075.0
9,20240809__XY02_crop3__Track_8,20240809,XY02_crop3,Track_8,1,-0.08041095733642578,1015,217,8.827035,9.132428169250488,135.0
10,20240809__XY02_crop3__Track_8,20240809,XY02_crop3,Track_8,2,-0.046889305114746094,15,145,8.870182,9.175762176513672,1080.0
11,20240809__XY02_crop3__Track_8,20240809,XY02_crop3,Track_8,3,-0.043389320373535156,5,94,8.887659,9.052803993225098,1075.0
12,20240809__XY02_crop3__Track_8,20240809,XY02_crop3,Track_8,4,-0.026520729064941406,175,93,8.905615,9.136815071105957,1080.0
13,20240809__XY02_crop3__Track_8,20240809,XY02_crop3,Track_8,5,-0.010409355163574219,80,22,8.962348,9.134552001953125,1080.0
14,20240809__XY02_crop3__Track_8,20240809,XY02_crop3,Track_8,6,-0.007434844970703125,20,15,9.258884,9.337013244628906,1080.0
15,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,1,-0.09099578857421875,370,217,8.659403,9.005542755126953,1025.0
16,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,2,-0.048417091369628906,655,196,8.941811,9.142717361450195,610.0
17,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,3,-0.03895378112792969,250,128,9.152089,9.273576736450195,555.0
